Name,Location,Location Latitude,Location Longitude,Last Attendance,Next Start Date,Next End Date,FCLR,Host Metro Area,Population of Host,Camping,Website
Alamo City Furry Invasion,"San Antonio, TX, USA",29.4288,-98.4925,1671,10/11/2024,10/13/2024,1,"San Antonio, TX, USA",2518036,0,https://www.furryinvasion.org/
Another Furry Con,"Ontario, CA, USA",34.065505,-117.6090181,0,9/27/2024,9/29/2024,0,"Inland Empire, CA, USA",4599839,0,https://anotherfurrycon.com
Anthro New England,"Boston, MA, USA",42.35108,-71.0703,4482,1/16/2025,1/19/2025,1,"Boston, MA, USA",4628910,0,https://www.anthronewengland.com/
Anthro Northwest,"Seattle, WA, USA",47.61485,-122.33441,2402,1/3/2025,1/6/2025,1,"Seattle, WA, USA",3939363,0,https://anthronw.com/
Anthro Weekend Utah,"Layton, UT, USA",41.0706,-111.94663,2438,8/1/2025,8/3/2025,1,"Salt Lake City, UT, USA",1203978,0,https://www.anthroweekendutah.org/
Anthrocon,"Pittsburgh, PA, USA",40.44661,-79.99571,17639,7/3/2025,7/6/2025,1,"Pittsburgh, PA, USA",2362453,0,https://www.anthrocon.org/
AnthroExpo,"Oklahoma City, OK, USA",35.52801,-97.56692,1094,1/30/2025,2/2/2025,1,"Oklahoma City, OK, USA",1396445,0,https://www.anthroexpo.net/
AnthrOhio,"Columbus, OH, USA",40.09983,-82.98668,1950,May 2025 (expected),5/25/2025,1,"Columbus, OH, USA",2078725,0,https://anthrohio.org/
AnthroIrish,"Cork, Ireland",51.8986264,-8.4676017,131,August 2025 (expected),8/3/2025,0,"Cork, Ireland",305222,0,https://linktr.ee/anthroirish
Aquatifur,"Wisconsin Dells, WI, USA",43.66518,-89.78405,560,11/8/2024,11/10/2024,1,"Wisconsin Dells, WI, USA",2678,0,https://aquatifur.com/
Argentina Fur Fiesta,"Buenos Aires, Argentina",-34.60909,-58.38266,448,August 2025 (expected),8/17/2025,1,"Buenos Aires, Argentina",15594428,0,https://new.furfiesta.com/
Arizona Fur Con,"Mesa, AZ, USA",33.42121,-111.83118,1387,10/11/2024,10/13/2024,0,"Phoenix, AZ, USA",4857962,0,https://www.arizonafurcon.com/
Aurawra,"Parramatta, NSW, Australia",-33.8122269,151.0024242,671,July 2025 (expected),7/27/2025,0,"Sydney, NSW, Australia",5450496,0,https://www.aurawra.org/
Awoostria,"Vienna, Austria",48.2007055,16.3334405,722,July 2025 (expected),7/27/2025,0,"Vienna, Austria",2890577,0,https://awoostria.at/
Bewhiskered,"Durham, NC, USA",36.0261062,-78.9593297,1174,3/7/2025,3/9/2025,0,"RTP, NC, USA",2368947,0,https://www.bewhiskeredcon.org
Biggest Little Fur Con,"Reno, NV, USA",39.52749,-119.79262,4124,10/14/2024,10/17/2024,1,"Reno, NV, USA",425417,0,https://goblfc.org/
Brasil FurFest,"Santos, Brazil",-23.9707,-46.3292,1121,7/25/2025,7/27/2025,1,"Santos, Brazil",433966,0,https://brasilfurfest.com.br/
Camp Feral!,"Algonquin Provincial Park, ON, Canada",45.595783,-78.730946,220,August 2025 (expected),8/25/2025,1,"Algonquin Provincial Park, ON, Canada",1096,1,https://campferal.org/
Camp Mani-Toebeans,"Riding Mountain National Park, MB, Canada",50.6643595,-100.0238039,24,8/29/2025,9/1/2025,0,"Wasagaming, MB, Canada",33,1,https://manitobafurries.org/camp/
Camp Paw,"Helena, MT, USA",46.611689,-111.653223,90,August 2025 (expected),8/18/2025,0,"Helena, MT, USA",83058,1,https://www.camppaw.org/
Campfire Tails,"La Pine, OR, USA",43.72887,-121.421328,150,August 2025 (expected),8/4/2025,1,"La Pine, OR, USA",1653,1,https://campfiretails.org/
Canfurence,"Kanata, ON, Canada",45.34265,-75.91205,1137,8/1/2025,8/3/2025,1,"Ottawa, ON, Canada",1323783,0,https://www.canfurence.ca/
CanthroFur,"Saint-Sauves-d'Auvergne, France",45.60608,2.68708,184,1/16/2025,1/20/2025,0,"Saint-Sauves-d'Auvergne, France",1127,1,https://www.canthrofur.org/
Carolina Furfare,"Hickory, NC, USA",35.7091488,-81.3065188,883,10/4/2024,10/6/2024,0,"Hickory, NC, USA",368347,0,https://www.carolinafurfare.org/
CastleCon,"Horb am Neckar, Germany",48.44885,8.67317,71,June 2025 (expected),6/15/2025,0,"Horb am Neckar, Germany",25135,1,https://castlecon.de/
ČeSFuR,"Bystřice nad Pernštejnem, Czech Republic",49.52341,16.26038,274,July 2025 (expected),7/4/2025,0,"Bystřice nad Pernštejnem, Czech Republic",8110,0,https://cesfur.org/
Confuror,"Guadalajara, Jalisco, Mexico",20.673366,-103.388289,1964,10/10/2024,10/13/2024,1,"Guadalajara, Jalisco, Mexico",5002466,0,https://confuror.org/
ConFuzzled,"Birmingham, England, UK",52.4522,-1.71724,2881,5/23/2025,5/27/2025,1,"Birmingham, England, UK",4332629,0,https://confuzzled.org.uk/
